Код ЦБ;Краткое наименование ;Дата собрания;Дата фиксации реестра;Ставка, рекомендованная по обыкновенным акциям;Ставка, рекомендованная по привилегированным акциям;Ставка, определенная по обыкновенным акциям;Ставка, определенная по привилегированным акциям;Дивиденды за период;Дата появления события в ленте новостей;Источник;ИНН эмитента
UKGS;Южно-Кузбасская ГРЭС;16/06/2009;08/05/2009;не выплач.;-;не выплач.;-;2008;13/05/2009;Интерфакс;4222010511
MSN5;Спец. ПКБ по ремонту и реконструкции;30/06/2009;18/05/2009;-;-;-;-;2008;04/06/2009;ДКК;7705654164;
MSN13;Мосэнергосетьстрой;30/06/2009;18/05/2009;-;-;не выплач.;-;2008;04/06/2009;ДКК;7705654189;
MSN11;Мостеплосетьэнергоремонт;04/06/2009;27/04/2009;не выплач.;-;не выплач.;-;2008;10/04/2009;Интерфакс;7705654245;
OROG;Оренбургоблгаз;16/06/2009;13/05/2009;-;-;59,66;-;2008;15/05/2009;Интерфакс;5610010369;
TGKA;ТГК-1;17/06/2009;29/04/2009;не выплач.;-;не выплач.;-;2008;10/03/2009;Интерфакс;7841312071;
DAGI;Дагсвязьинформ;17/06/2009;29/04/2009;0,00201 ;0,01207;0,00201 ;0,01207;2008;07/04/2009;Интерфакс;500000016;
OGKD;ОГК-4 ;17/06/2009;29/04/2009;не выплач.;-;не выплач.;-;2008;07/04/2009;Интерфакс;8602067092;
TUTM;Тутаевский моторный завод;17/06/2009;30/04/2009;не выплач.;-;не выплач.;-;2008;27/04/2009;Интерфакс;7611000399;
BUSB;Бурятэнергосбыт;17/06/2009;27/04/2009;-;-;не выплач.;-;2008;28/04/2009;Интерфакс;323125110;
MSCP;Мурманский морской торговый порт;29/05/2009;29/04/2009;-;-;857,94;573,95;2008;08/05/2009;ДКК;5190400349;
MRTS;Межбанковский расчетный Центр;22/05/2009;22/04/2009;-;-;-;-;2008;05/05/2009;ДКК;2536016341;
MRSB;Мордовская энергосбытовая компания;04/06/2009;20/04/2009;не выплач.;;не выплач.;-;2008;21/04/2009;Интерфакс;1326192645;
MRKU;МРСК Юга;19/06/2009;08/05/2009;не выплач.;-;не выплач.;-;2008;12/05/2009;Интерфакс;6164266561;
MRKC;МРСК Центра и Приволжья;19/06/2009;08/05/2009;не выплач.;-;не выплач.;-;2008;08/05/2009;Интерфакс;5260200603;
YASH;Ярославский шинный завод;17/06/2009;12/05/2009;не выплач.;-;не выплач.;-;2008;15/05/2009;ДКК;7601001509;
MPLD;Мальцовский портландцемент;24/06/2009;22/05/2009;не выплач.;не выплач.;не выплач.;не выплач.;2008;25/05/2009;Интерфакс;3202001147;
MOTZ;Мотовилихинские заводы;20/06/2009;05/05/2009;не выплач.;-;не выплач.;-;2008;27/04/2009;Интерфакс;5906009273
YMGF;Ямалгеофизика;17/06/2009;27/05/2009;не выплач.;0,006;не выплач.;не выплач.;2008;29/05/2009;Интерфакс;8902002995
MORI;МОРИОН;05/06/2009;24/04/2009;-;-;-;-;2008;08/05/2009;ДКК;5905000038
MOIB;Московский индустриальный банк;21/05/2009;02/04/2009;не выплач.;не выплач.;не выплач.;не выплач.;2008;07/04/2009;Интерфакс;7725039953
SLNE;Славнефть-Ярославнефтепродукт;18/06/2009;04/05/2009;не выплач.;0,006;не выплач.;0,6 ;2008;07/04/2009;Интерфакс;7601000520
MKRO;Микрон ;18/06/2009;04/05/2009;-;-;не выплач.;-;2008;13/05/2009;Интерфакс;7735007358
MGTS;Москвовская ГТС;26/06/2009;08/05/2009;-;-;2.02;20.16;2008;13/05/2009;Интерфакс;7710016640
MGNN;НПО Магнетон;20/05/2009;08/04/2009;-;-;не выплач.;-;2008;09/04/2009;Интерфакс;3328100019
MGGD;Мосгоргидрострой;22/05/2009;10/04/2009;-;-;не выплач.;12.28;2008;18/05/2009;ДКК;7718085211
